setting,L0,z0,z1,As,hr0,k,Ts,Tlab,Da,composition,T0,T1,P0,rho0,critical_depth,critical_pressure,critical_temperature,plag_out_pressure,plag_out_temperature,plag_out_depth,qs0,qs1,effective_delta_rho,max_delta_rho,max_rho,max_densification_rate_1Myr,max_densification_rate_100kyr,max_densification_rate_50kyr,max_densification_rate_10kyr
,55000.0,,,2e-06,13000.0,3.0,283.15,1603.15,0.01,sammon_2021_deep_crust,1044.0464720227953,1293.9693566065441,8181.540000000001,2871.0314811986345,nan,nan,nan,nan,nan,nan,0.09194390774252162,0.0801837539800576,nan,nan,2.9152659045180753,1.0793090163290777,1.0896750979868792,1.0905820341617816,1.0905820341617816
,55000.0,,,2e-06,13000.0,3.0,283.15,1603.15,0.01,sammon_2021_lower_crust,1044.0464720227953,1293.9693566065441,8181.540000000001,2944.00322609359,nan,nan,nan,nan,nan,nan,0.09194390774252162,0.0801837539800576,nan,nan,2.9823997106509537,0.853608000369387,0.8573453442706374,0.8576682477166351,0.8576682477166351
,55000.0,,,2e-06,13000.0,3.0,283.15,1603.15,0.01,hacker_2015_md_xenolith,1044.0464720227953,1293.9693566065441,8181.540000000001,2982.601980445604,nan,nan,nan,nan,nan,nan,0.09194390774252162,0.0801837539800576,nan,nan,3.0197426324879224,0.799761320996386,0.8016894787415487,0.8018530225932918,0.8018530225932918
,55000.0,,,2e-06,13000.0,3.0,283.15,1603.15,0.01,mackwell_1998_maryland_diabase,1044.0464720227953,1293.9693566065441,8181.540000000001,3041.6227724245346,nan,nan,nan,nan,nan,nan,0.09194390774252162,0.0801837539800576,nan,nan,3.0768357364991603,0.7648857994235553,0.766738380224381,0.7668945939650214,0.7668945939650214
,55000.0,,,2e-06,13000.0,3.0,283.15,1603.15,0.03,sammon_2021_deep_crust,1044.0464720227953,1293.9693566065441,8181.540000000001,2871.0314811986345,nan,nan,nan,nan,nan,nan,0.09194390774252162,0.0801837539800576,nan,nan,2.9215025041584304,1.1030822642192486,1.1123960782747564,1.1132151200155587,1.1132151200155587
,55000.0,,,2e-06,13000.0,3.0,283.15,1603.15,0.03,sammon_2021_lower_crust,1044.0464720227953,1293.9693566065441,8181.540000000001,2944.00322609359,nan,nan,nan,nan,nan,nan,0.09194390774252162,0.0801837539800576,nan,nan,2.9900876290739826,1.100005305273446,1.1223356160221671,1.1236019647774338,1.1236019647774338
,55000.0,,,2e-06,13000.0,3.0,283.15,1603.15,0.03,hacker_2015_md_xenolith,1044.0464720227953,1293.9693566065441,8181.540000000001,2982.601980445604,nan,nan,nan,nan,nan,nan,0.09194390774252162,0.0801837539800576,nan,nan,3.0278874548799157,1.127853839512493,1.152421002533511,1.153813719736218,1.153813719736218
,55000.0,,,2e-06,13000.0,3.0,283.15,1603.15,0.03,mackwell_1998_maryland_diabase,1044.0464720227953,1293.9693566065441,8181.540000000001,3041.6227724245346,nan,nan,nan,nan,nan,nan,0.09194390774252162,0.0801837539800576,nan,nan,3.085093825792263,1.0854697490031764,1.1089231181293724,1.1102506694204177,1.1102506694204177
,55000.0,,,2e-06,13000.0,3.0,283.15,1603.15,0.1,sammon_2021_deep_crust,1044.0464720227953,1293.9693566065441,8181.540000000001,2871.0314811986345,nan,nan,nan,nan,nan,nan,0.09194390774252162,0.0801837539800576,nan,nan,2.9377775314762653,1.9085194852511802,1.9699111414191584,1.973347138305994,1.973347138305994
,55000.0,,,2e-06,13000.0,3.0,283.15,1603.15,0.1,sammon_2021_lower_crust,1044.0464720227953,1293.9693566065441,8181.540000000001,2944.00322609359,nan,nan,nan,nan,nan,nan,0.09194390774252162,0.0801837539800576,nan,nan,3.0104118413928096,2.1514752038929346,2.226652497694524,2.2308571892898863,2.2308571892898863
,55000.0,,,2e-06,13000.0,3.0,283.15,1603.15,0.1,hacker_2015_md_xenolith,1044.0464720227953,1293.9693566065441,8181.540000000001,2982.601980445604,nan,nan,nan,nan,nan,nan,0.09194390774252162,0.0801837539800576,nan,nan,3.04959913734586,2.235456946250857,2.314328604025659,2.318741284699001,2.318741284699001
,55000.0,,,2e-06,13000.0,3.0,283.15,1603.15,0.1,mackwell_1998_maryland_diabase,1044.0464720227953,1293.9693566065441,8181.540000000001,3041.6227724245346,nan,nan,nan,nan,nan,nan,0.09194390774252162,0.0801837539800576,nan,nan,3.107490751372927,2.188305365337814,2.262055137351185,2.2661740957686267,2.2661740957686267
,55000.0,,,2e-06,13000.0,3.0,283.15,1603.15,0.3,sammon_2021_deep_crust,1044.0464720227953,1293.9693566065441,8181.540000000001,2871.0314811986345,nan,nan,nan,nan,nan,nan,0.09194390774252162,0.0801837539800576,nan,nan,2.971895250685758,3.7517308304039423,3.882594028781212,3.889745892120923,3.889745892120923
,55000.0,,,2e-06,13000.0,3.0,283.15,1603.15,0.3,sammon_2021_lower_crust,1044.0464720227953,1293.9693566065441,8181.540000000001,2944.00322609359,nan,nan,nan,nan,nan,nan,0.09194390774252162,0.0801837539800576,nan,nan,3.0525005456059753,4.304259902364523,4.450400632327491,4.45834377881255,4.45834377881255
,55000.0,,,2e-06,13000.0,3.0,283.15,1603.15,0.3,hacker_2015_md_xenolith,1044.0464720227953,1293.9693566065441,8181.540000000001,2982.601980445604,nan,nan,nan,nan,nan,nan,0.09194390774252162,0.0801837539800576,nan,nan,3.094699895488969,4.487117890747944,4.6358261439881785,4.643891386793943,4.643891386793943
,55000.0,,,2e-06,13000.0,3.0,283.15,1603.15,0.3,mackwell_1998_maryland_diabase,1044.0464720227953,1293.9693566065441,8181.540000000001,3041.6227724245346,nan,nan,nan,nan,nan,nan,0.09194390774252162,0.0801837539800576,nan,nan,3.1536635938325244,4.369003205032557,4.501337778878014,4.508474689976323,4.508474689976323
,55000.0,,,2e-06,13000.0,3.0,283.15,1603.15,1.0,sammon_2021_deep_crust,1044.0464720227953,1293.9693566065441,8181.540000000001,2871.0314811986345,nan,nan,nan,nan,nan,nan,0.09194390774252162,0.0801837539800576,nan,nan,3.047426638780239,6.985215664607438,7.053959278057343,7.0567702188624875,7.0567702188624875
,55000.0,,,2e-06,13000.0,3.0,283.15,1603.15,1.0,sammon_2021_lower_crust,1044.0464720227953,1293.9693566065441,8181.540000000001,2944.00322609359,nan,nan,nan,nan,nan,nan,0.09194390774252162,0.0801837539800576,nan,nan,3.1429027288967997,7.872882708349193,7.90577098970639,7.906413152823006,7.906413152823006
,55000.0,,,2e-06,13000.0,3.0,283.15,1603.15,1.0,hacker_2015_md_xenolith,1044.0464720227953,1293.9693566065441,8181.540000000001,2982.601980445604,nan,nan,nan,nan,nan,nan,0.09194390774252162,0.0801837539800576,nan,nan,3.190894178176495,8.087629818921544,8.099101108675011,8.099106314626898,8.099106314626898
,55000.0,,,2e-06,13000.0,3.0,283.15,1603.15,1.0,mackwell_1998_maryland_diabase,1044.0464720227953,1293.9693566065441,8181.540000000001,3041.6227724245346,nan,nan,nan,nan,nan,nan,0.09194390774252162,0.0801837539800576,nan,nan,3.249925931051238,7.665582056554878,7.668128482159883,7.668138062191448,7.668138062191448
,55000.0,,,2e-06,13000.0,3.0,283.15,1603.15,3.0,sammon_2021_deep_crust,1044.0464720227953,1293.9693566065441,8181.540000000001,2871.0314811986345,nan,nan,nan,nan,nan,nan,0.09194390774252162,0.0801837539800576,nan,nan,3.137128893007151,9.062486797798432,9.066669022119981,9.066672857238682,9.066672857238682
,55000.0,,,2e-06,13000.0,3.0,283.15,1603.15,3.0,sammon_2021_lower_crust,1044.0464720227953,1293.9693566065441,8181.540000000001,2944.00322609359,nan,nan,nan,nan,nan,nan,0.09194390774252162,0.0801837539800576,nan,nan,3.2472542205140504,10.353750537759112,10.356046079539285,10.35611830213241,10.35611830213241
,55000.0,,,2e-06,13000.0,3.0,283.15,1603.15,3.0,hacker_2015_md_xenolith,1044.0464720227953,1293.9693566065441,8181.540000000001,2982.601980445604,nan,nan,nan,nan,nan,nan,0.09194390774252162,0.0801837539800576,nan,nan,3.297439680802556,10.521628566309973,10.525304648825667,10.525321980292176,10.525321980292176
,55000.0,,,2e-06,13000.0,3.0,283.15,1603.15,3.0,mackwell_1998_maryland_diabase,1044.0464720227953,1293.9693566065441,8181.540000000001,3041.6227724245346,75495.4954954955,20588.980540540546,1262.1414427867135,nan,nan,nan,0.09194390774252162,0.0801837539800576,0.01704435728840463,0.03219552614419241,3.353001964981355,10.16566338375102,10.168829792894496,10.168876133867032,10.168876133867032
,55000.0,,,2e-06,13000.0,3.0,283.15,1603.15,10.0,sammon_2021_deep_crust,1044.0464720227953,1293.9693566065441,8181.540000000001,2871.0314811986345,nan,nan,nan,nan,nan,nan,0.09194390774252162,0.0801837539800576,nan,nan,3.192576495883954,9.89077857403497,9.894469319023322,9.894492180234849,9.894492180234849
,55000.0,,,2e-06,13000.0,3.0,283.15,1603.15,10.0,sammon_2021_lower_crust,1044.0464720227953,1293.9693566065441,8181.540000000001,2944.00322609359,nan,nan,nan,nan,nan,nan,0.09194390774252162,0.0801837539800576,nan,nan,3.309288850555928,11.90169694517838,11.916193808474837,11.91630092950903,11.91630092950903
,55000.0,,,2e-06,13000.0,3.0,283.15,1603.15,10.0,hacker_2015_md_xenolith,1044.0464720227953,1293.9693566065441,8181.540000000001,2982.601980445604,72992.992992993,19906.503063063064,1245.2560704277525,nan,nan,nan,0.09194390774252162,0.0801837539800576,0.019338965130314884,0.035712106099407226,3.35651854493657,11.694801492169173,11.69942691763408,11.69949466910666,11.69949466910666
,55000.0,,,2e-06,13000.0,3.0,283.15,1603.15,10.0,mackwell_1998_maryland_diabase,1044.0464720227953,1293.9693566065441,8181.540000000001,3041.6227724245346,64884.88488488489,17695.276036036037,1194.4568021827524,21817.44,1293.9693566065441,80000.0,0.09194390774252162,0.0801837539800576,0.052061142786150115,0.0835689180609851,3.404375356898148,11.563585834141138,11.569712560360681,11.569783481061057,11.569783481061057
,55000.0,,,2e-06,13000.0,3.0,283.15,1603.15,30.0,sammon_2021_deep_crust,1044.0464720227953,1293.9693566065441,8181.540000000001,2871.0314811986345,nan,nan,nan,nan,nan,nan,0.09194390774252162,0.0801837539800576,nan,nan,3.224983037292918,10.046421968515087,10.060447788750077,10.060549953604799,10.060549953604799
,55000.0,,,2e-06,13000.0,3.0,283.15,1603.15,30.0,sammon_2021_lower_crust,1044.0464720227953,1293.9693566065441,8181.540000000001,2944.00322609359,75895.8958958959,20698.17693693694,1264.895918952893,21667.29495495496,1289.980360975744,79449.44944944946,0.09194390774252162,0.0801837539800576,0.008769621470860621,0.016074343337238783,3.3368807821744015,12.17297133444931,12.181102598645811,12.18112322386662,12.18112322386662
,55000.0,,,2e-06,13000.0,3.0,283.15,1603.15,30.0,hacker_2015_md_xenolith,1044.0464720227953,1293.9693566065441,8181.540000000001,2982.601980445604,68538.53853853853,18691.69315315315,1216.6082843946965,21694.59405405406,1290.7035839892255,79549.54954954956,0.09194390774252162,0.0801837539800576,0.03503854711261641,0.06104190782408914,3.381848346661252,13.04245680170622,13.065411665725486,13.065477064966366,13.065477064966366
,55000.0,,,2e-06,13000.0,3.0,283.15,1603.15,30.0,mackwell_1998_maryland_diabase,1044.0464720227953,1293.9693566065441,8181.540000000001,3041.6227724245346,58378.37837837837,15920.834594594595,1158.0129006327033,19715.409369369372,1240.6301568213735,72292.29229229229,0.09194390774252162,0.0801837539800576,0.06529320425097987,0.09871888684366592,3.4195253256808287,13.812235607708931,13.833161581465042,13.833359181529646,13.833359181529646
,55000.0,,,2e-06,13000.0,3.0,283.15,1603.15,100.0,sammon_2021_deep_crust,1044.0464720227953,1293.9693566065441,8181.540000000001,2871.0314811986345,nan,nan,nan,21435.252612612614,1283.8697320813312,78598.59859859859,0.09194390774252162,0.0801837539800576,nan,nan,3.2561151665902757,14.386586500093426,14.463689850226775,14.464078918074133,14.464078918074133
,55000.0,,,2e-06,13000.0,3.0,283.15,1603.15,100.0,sammon_2021_lower_crust,1044.0464720227953,1293.9693566065441,8181.540000000001,2944.00322609359,71141.14114114114,19401.46972972973,1233.1273099665461,20015.699459459465,1247.9194835098879,73393.3933933934,0.09194390774252162,0.0801837539800576,0.02045835527209656,0.02868619037079556,3.3494926292079583,17.39027626059291,17.45459529675997,17.454746735553705,17.454746735553705
,55000.0,,,2e-06,13000.0,3.0,283.15,1603.15,100.0,hacker_2015_md_xenolith,1044.0464720227953,1293.9693566065441,8181.540000000001,2982.601980445604,66536.53653653653,18145.711171171173,1204.3202318337248,20193.143603603607,1252.2786050457871,74044.04404404404,0.09194390774252162,0.0801837539800576,0.04881716935752852,0.07353329607691039,3.394339734914073,18.819855854942688,18.878540146144157,18.878867248375908,18.878867248375908
,55000.0,,,2e-06,13000.0,3.0,283.15,1603.15,100.0,mackwell_1998_maryland_diabase,1044.0464720227953,1293.9693566065441,8181.540000000001,3041.6227724245346,55425.42542542542,15115.511171171172,1142.7422816457915,18486.949909909912,1211.9575788636862,67787.78778778779,0.09194390774252162,0.0801837539800576,0.07017179422551306,0.10004615157607022,3.420852590413233,19.791342391896833,19.822319999673574,19.82283172026444,19.82283172026444
,55000.0,,,2e-06,13000.0,3.0,283.15,1603.15,300.0,sammon_2021_deep_crust,1044.0464720227953,1293.9693566065441,8181.540000000001,2871.0314811986345,nan,nan,nan,20466.134594594594,1259.060072914585,75045.04504504504,0.09194390774252162,0.0801837539800576,nan,nan,3.2650755380451963,20.448015175629855,20.53204786908109,20.53351795136491,20.53351795136491
,55000.0,,,2e-06,13000.0,3.0,283.15,1603.15,300.0,sammon_2021_lower_crust,1044.0464720227953,1293.9693566065441,8181.540000000001,2944.00322609359,68438.43843843843,18664.394054054053,1215.9852307736637,19101.179639639642,1226.0633644110421,70040.04004004004,0.09194390774252162,0.0801837539800576,0.02535079045099379,0.02974888051088609,3.350555319348049,24.576307239557273,24.715848240779295,24.715914035259285,24.715914035259285
,55000.0,,,2e-06,13000.0,3.0,283.15,1603.15,300.0,hacker_2015_md_xenolith,1044.0464720227953,1293.9693566065441,8181.540000000001,2982.601980445604,65685.68568568569,17913.66882882883,1199.2081096558609,19387.820180180184,1232.8038311262487,71091.09109109109,0.09194390774252162,0.0801837539800576,0.05713030688739919,0.074326940931849,3.3951333797690117,26.71934189412758,26.94243763386528,26.944732739105703,26.944732739105703
,55000.0,,,2e-06,13000.0,3.0,283.15,1603.15,300.0,mackwell_1998_maryland_diabase,1044.0464720227953,1293.9693566065441,8181.540000000001,3041.6227724245346,54974.974974974975,14992.665225225226,1140.482528449455,17927.318378378382,1199.5070014634662,65735.73573573574,0.09194390774252162,0.0801837539800576,0.0738049800009883,0.09968232399047317,3.420488762827636,28.118813748177057,28.177746957800906,28.18082747185159,28.18082747185159
,55000.0,,,2e-06,13000.0,3.0,283.15,1603.15,1000.0,sammon_2021_deep_crust,1044.0464720227953,1293.9693566065441,8181.540000000001,2871.0314811986345,nan,nan,nan,20002.049909909914,1247.5857600726354,73343.34334334335,0.09194390774252162,0.0801837539800576,nan,nan,3.265466404973723,28.629289812924014,28.932936898799984,28.93334143863163,28.93334143863163
,55000.0,,,2e-06,13000.0,3.0,283.15,1603.15,1000.0,sammon_2021_lower_crust,1044.0464720227953,1293.9693566065441,8181.540000000001,2944.00322609359,66636.63663663663,18173.010270270268,1204.9259834687891,18541.54810810811,1213.1927585356666,67987.98798798799,0.09194390774252162,0.0801837539800576,0.027235107461379717,0.030054985670276313,3.350861424507439,34.160676060393385,34.87458442518484,34.882107758016595,34.882107758016595
,55000.0,,,2e-06,13000.0,3.0,283.15,1603.15,1000.0,hacker_2015_md_xenolith,1044.0464720227953,1293.9693566065441,8181.540000000001,2982.601980445604,65085.085085085084,17749.874234234234,1195.6391652659868,18869.1372972973,1220.6803295581456,69189.18918918919,0.09194390774252162,0.0801837539800576,0.06214839785585359,0.07455145835479282,3.3953578971919556,34.909002130345634,36.485801077667475,36.60159885643696,36.60159885643696
,55000.0,,,2e-06,13000.0,3.0,283.15,1603.15,1000.0,mackwell_1998_maryland_diabase,1044.0464720227953,1293.9693566065441,8181.540000000001,3041.6227724245346,54824.82482482483,14951.716576576579,1139.7333752227914,17640.67783783784,1193.2780816228799,64684.68468468469,0.09194390774252162,0.0801837539800576,0.07565015022880993,0.099330051325214,3.4201364901623768,33.28174819263502,35.26200880977446,35.41787618623381,35.41787618623381
,55000.0,,,2e-06,13000.0,3.0,283.15,1603.15,3000.0,sammon_2021_deep_crust,1044.0464720227953,1293.9693566065441,8181.540000000001,2871.0314811986345,nan,nan,nan,19824.605765765766,1243.2680722399762,72692.69269269268,0.09194390774252162,0.0801837539800576,nan,nan,3.2655233082981496,34.24184148302912,35.52778685412525,35.61380459066157,35.61380459066157
,55000.0,,,2e-06,13000.0,3.0,283.15,1603.15,3000.0,sammon_2021_lower_crust,1044.0464720227953,1293.9693566065441,8181.540000000001,2944.00322609359,65935.93593593594,17981.91657657658,1200.704845270988,18336.804864864866,1208.5796165268248,67237.23723723723,0.09194390774252162,0.0801837539800576,0.027780957558568315,0.030097057268905658,3.3509034961060684,42.820087800810164,43.799281914599604,43.82612460999793,43.82612460999793
,55000.0,,,2e-06,13000.0,3.0,283.15,1603.15,3000.0,hacker_2015_md_xenolith,1044.0464720227953,1293.9693566065441,8181.540000000001,2982.601980445604,64684.68468468469,17640.67783783784,1193.2780816228799,18664.394054054053,1215.9852307736637,68438.43843843843,0.09194390774252162,0.0801837539800576,0.06386274416430837,0.07459461555281921,3.395401054389982,35.29035778721651,38.12705728408013,38.35915537506325,38.35915537506325
,55000.0,,,2e-06,13000.0,3.0,283.15,1603.15,3000.0,mackwell_1998_maryland_diabase,1044.0464720227953,1293.9693566065441,8181.540000000001,3041.6227724245346,54774.77477477478,14938.06702702703,1139.4841127959905,17531.481441441443,1190.93156807322,64284.28428428428,0.09194390774252162,0.0801837539800576,0.07631416827419728,0.09913553417834065,3.4199419730155034,30.776151255395778,33.94494233595084,34.20915684927581,34.20915684927581
,55000.0,,,2e-06,13000.0,3.0,283.15,1603.15,10000.0,sammon_2021_deep_crust,1044.0464720227953,1293.9693566065441,8181.540000000001,2871.0314811986345,nan,nan,nan,19756.358018018018,1241.6176676705236,72442.44244244244,0.09194390774252162,0.0801837539800576,nan,nan,3.265537635622966,35.978033079290164,37.49011977165085,37.60958378161267,37.60958378161267
,55000.0,,,2e-06,13000.0,3.0,283.15,1603.15,10000.0,sammon_2021_lower_crust,1044.0464720227953,1293.9693566065441,8181.540000000001,2944.00322609359,65735.73573573574,17927.318378378382,1199.5070014634662,18254.90756756757,1206.748702159025,66936.93693693694,0.09194390774252162,0.0801837539800576,0.028172727984692725,0.030109732775224884,3.3509161716123876,45.84329338020869,47.450335488650865,47.575402667899624,47.575402667899624
,55000.0,,,2e-06,13000.0,3.0,283.15,1603.15,10000.0,hacker_2015_md_xenolith,1044.0464720227953,1293.9693566065441,8181.540000000001,2982.601980445604,64434.434434434435,17572.430090090093,1191.8098032215166,18568.847207207207,1213.8117143179174,68088.08808808809,0.09194390774252162,0.0801837539800576,0.06426351684775589,0.07459898139843046,3.395405420235593,35.399540772989795,39.01195874908731,39.28530250034434,39.28530250034434
,55000.0,,,2e-06,13000.0,3.0,283.15,1603.15,10000.0,mackwell_1998_maryland_diabase,1044.0464720227953,1293.9693566065441,8181.540000000001,3041.6227724245346,54724.72472472473,14924.417477477478,1139.2350780268998,17476.883243243243,1189.7637750834324,64084.08408408408,0.09194390774252162,0.0801837539800576,0.07649759729575668,0.09901701161727106,3.419823450454434,27.133702795670878,31.99683793785345,32.368945295131574,32.368945295131574
,60000.0,,,1.95e-06,12500.0,3.0,283.15,1603.15,0.01,sammon_2021_deep_crust,985.1356247113771,1241.7144423920147,8181.540000000001,2879.659202974751,nan,nan,nan,nan,nan,nan,0.08533866668423332,0.07631977782462214,nan,nan,2.919686083547899,0.9655465334453632,0.9655465334453632,0.9658620243988216,0.9658620243988216
